city,price(Yuan/m2),region
北京,60541,North
深圳,57618,South
厦门,53601,South
广州,34566,South
杭州,32741,South
三亚,31736,South
南京,26862,South
宁波,25537,South
义乌,24872,South
珠海,22561,South
东莞,22442,South
福州,21583,South
苏州,21305,South
昆山,19394,South
温州,18919,South
金华,17660,South
台州,17602,South
绍兴,17431,South
瑞安,17391,South
海口,16965,South
天津,16754,North
合肥,16305,South
青岛,16170,North
济南,16149,North
武汉,15824,South
衢州,15598,South
成都,15363,Southwest
常州,15083,South
佛山,14934,South
无锡,14905,South
泉州,14751,South
南通,14504,South
舟山,14429,South
嘉兴,14311,South
大连,14107,Northeast
西安,14081,Northwest
宁德,14077,South
正定,13636,North
石家庄,13621,North
扬州,13490,South
郑州,12948,North
漳州,12733,South
泰州,12579,South
莆田,12531,South
拉萨,12458,Northwest
龙岩,12343,South
昆明,12246,Southwest
南昌,11774,South
兰州,11711,Northwest
重庆,11621,Southwest
