text,link
2023年北京房价 60541元/㎡ 0.09%↑,http://www.anjuke.com/fangjia/beijing2023/
2023年深圳房价 57618元/㎡ 0.18%↓,http://www.anjuke.com/fangjia/shenzhen2023/
2023年厦门房价 53601元/㎡ 0.41%↓,http://www.anjuke.com/fangjia/xm2023/
2023年广州房价 34566元/㎡ 0.88%↓,http://www.anjuke.com/fangjia/guangzhou2023/
2023年杭州房价 32741元/㎡ 1.27%↓,http://www.anjuke.com/fangjia/hangzhou2023/
2023年三亚房价 31736元/㎡ 0.03%↓,http://www.anjuke.com/fangjia/sanya2023/
2023年南京房价 26862元/㎡ 0.12%↓,http://www.anjuke.com/fangjia/nanjing2023/
2023年宁波房价 25537元/㎡ 0.58%↓,http://www.anjuke.com/fangjia/nb2023/
2023年义乌房价 24872元/㎡ 0.51%↓,http://www.anjuke.com/fangjia/yiwu2023/
2023年珠海房价 22561元/㎡ 0.35%↑,http://www.anjuke.com/fangjia/zh2023/
2023年东莞房价 22442元/㎡ 0.34%↓,http://www.anjuke.com/fangjia/dg2023/
2023年福州房价 21583元/㎡ 0.48%↓,http://www.anjuke.com/fangjia/fz2023/
2023年苏州房价 21305元/㎡ 0.07%↓,http://www.anjuke.com/fangjia/suzhou2023/
2023年昆山房价 19394元/㎡ 0.34%↑,http://www.anjuke.com/fangjia/ks2023/
2023年温州房价 18919元/㎡ 0.88%↓,http://www.anjuke.com/fangjia/wenzhou2023/
2023年金华房价 17660元/㎡ 0.25%↑,http://www.anjuke.com/fangjia/jinhua2023/
2023年台州房价 17602元/㎡ 0.41%↓,http://www.anjuke.com/fangjia/taiz2023/
2023年绍兴房价 17431元/㎡ 0.74%↑,http://www.anjuke.com/fangjia/shaoxing2023/
2023年瑞安房价 17391元/㎡ --,http://www.anjuke.com/fangjia/ruian2023/
2023年海口房价 16965元/㎡ 0.17%↑,http://www.anjuke.com/fangjia/haikou2023/
2023年天津房价 16754元/㎡ 0.2%↓,http://www.anjuke.com/fangjia/tianjin2023/
2023年合肥房价 16305元/㎡ 0.4%↓,http://www.anjuke.com/fangjia/hf2023/
2023年青岛房价 16170元/㎡ 0.07%↓,http://www.anjuke.com/fangjia/qd2023/
2023年济南房价 16149元/㎡ 0.14%↑,http://www.anjuke.com/fangjia/jinan2023/
2023年武汉房价 15824元/㎡ 0.34%↓,http://www.anjuke.com/fangjia/wuhan2023/
2023年衢州房价 15598元/㎡ 0.25%↓,http://www.anjuke.com/fangjia/quzhou2023/
2023年成都房价 15363元/㎡ --,http://www.anjuke.com/fangjia/chengdu2023/
2023年常州房价 15083元/㎡ 0.45%↓,http://www.anjuke.com/fangjia/cz2023/
2023年佛山房价 14934元/㎡ 0.06%↓,http://www.anjuke.com/fangjia/foshan2023/
2023年无锡房价 14905元/㎡ 0.44%↓,http://www.anjuke.com/fangjia/wuxi2023/
2023年泉州房价 14751元/㎡ 0.5%↓,http://www.anjuke.com/fangjia/quanzhou2023/
2023年南通房价 14504元/㎡ 0.24%↓,http://www.anjuke.com/fangjia/nantong2023/
2023年舟山房价 14429元/㎡ 0.32%↓,http://www.anjuke.com/fangjia/zhoushan2023/
2023年嘉兴房价 14311元/㎡ 0.49%↓,http://www.anjuke.com/fangjia/jx2023/
2023年大连房价 14107元/㎡ 0.74%↓,http://www.anjuke.com/fangjia/dalian2023/
2023年西安房价 14081元/㎡ 0.11%↓,http://www.anjuke.com/fangjia/xa2023/
2023年宁德房价 14077元/㎡ 0.48%↓,http://www.anjuke.com/fangjia/ningde2023/
2023年正定房价 13636元/㎡ --,http://www.anjuke.com/fangjia/zhengding2023/
2023年石家庄房价 13621元/㎡ 0.19%↑,http://www.anjuke.com/fangjia/sjz2023/
2023年扬州房价 13490元/㎡ 0.04%↑,http://www.anjuke.com/fangjia/yangzhou2023/
2023年郑州房价 12948元/㎡ 0.08%↓,http://www.anjuke.com/fangjia/zhengzhou2023/
2023年漳州房价 12733元/㎡ 0.55%↓,http://www.anjuke.com/fangjia/zhangzhou2023/
2023年泰州房价 12579元/㎡ 0.6%↓,http://www.anjuke.com/fangjia/taizhou2023/
2023年莆田房价 12531元/㎡ 0.1%↑,http://www.anjuke.com/fangjia/putian2023/
2023年拉萨房价 12458元/㎡ 0.44%↑,http://www.anjuke.com/fangjia/lasa2023/
2023年龙岩房价 12343元/㎡ 0.6%↓,http://www.anjuke.com/fangjia/longyan2023/
2023年昆明房价 12246元/㎡ 0.36%↓,http://www.anjuke.com/fangjia/km2023/
2023年南昌房价 11774元/㎡ 0.08%↓,http://www.anjuke.com/fangjia/nc2023/
2023年兰州房价 11711元/㎡ 0.16%↑,http://www.anjuke.com/fangjia/lanzhou2023/
2023年重庆房价 11621元/㎡ 0.31%↓,http://www.anjuke.com/fangjia/chongqing2023/
